,doc_id,base_E_pred,base_E_resp,description,country,queries,carb,fat,energy,protein,base_E_mae,base_pred,base_resp,base_mae
515,515,140.5,"['{""total_carbohydrates"": 140.5}']","['Beef\t medium fat\t w/o bones\t raw\t corrected for stewing', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Pumpkin\t leaves (seveve)\t raw\t corrected for boling', 'Rice\t white\t milled\t polished grain\t dry\t raw corrected for stewing', 'Salt\t Iodized', 'Tomato\t red\t ripe\t raw\t corrected for stewing', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For lunch, I’m having 56.4 grams of raw medium fat beef, 47 grams of chopped fresh red onion, and 73.3 grams of raw pumpkin leaves. I also cooked 43.5 grams of dry white rice with 0.9 grams of iodized salt, and added 68.7 grams of ripe raw tomato. I used 21.0 grams of vegetable oil and served it with 600 grams of whole maize flour ugali.",100.0,31.9,845.0,27.0,40.5,452.5,"['{{""total_carbohydrates"": 452.5}}']",352.5
522,522,92.8,"['{""total_carbohydrates"": 92.8}']","['Maize flour, PROCESS=Boiling', 'Sucrose (common sugar),  PROCESS=Boiling']",BFA,"For my snack, I used 420 grams of boiled maize flour along with 16 grams of common sugar.",94.5,3.4,419.0,11.8,1.700000000000002,345.2,"['{{""total_carbohydrates"": 345.2}}']",250.7
259,259,18.0,"['{""total_carbohydrates"": 18}']",['Oatmeal beverage with water'],USA,I’ve got a drink made from 248 grams of oatmeal and water for breakfast.,26.31,0.37,106.64,0.62,8.309999999999999,168.2,"['{{""total_carbohydrates"": 168.2}}']",141.89
517,517,150.0,"['{""total_carbohydrates"": 150}']","['Egg\t chicken\t whole\t raw corrected for omelette', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Salt\t Iodized', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"For dinner, I’m having 54.1g of raw chicken egg, 17.5g of fresh red onion, 18.8g of iodized salt, 17.5g of vegetable oil, cooked in some vegetable oil, along with 200g of whole maize flour ugali.",30.3,40.0,494.0,4.6,119.7,145.5,"['{{""total_carbohydrates"": 145.5}}']",115.2
477,477,366.5,"['{""total_carbohydrates"": 366.5}']","['Baking yeast', 'Cassava roots, PROCESS = Boiling', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Fermented tea infusion, INGREDIENT = Tap water, QUALITATIVE-INFO = Black', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature', 'Wheat flour white, PROCESS = Boiling', 'White sugar']",COD,"For breakfast, I'm having 178 grams of boiled cassava roots, 5.2 grams of dried starchy roots and tuber products, 71.8 grams of roasted pumpkin seeds, 0.5 grams of baking yeast, 7.7 grams of fermented tea infusion with tap water, 26.5 grams of red palm oil, 3.0 grams of salt, 45.9 grams of smoked fish, 27.2 grams of ripe red tomatoes, 13.9 grams of white wheat flour, and 124.7 grams of white sugar.",238.2,46.6,1468.0,24.300000000000004,128.3,128.9,"['{{""total_carbohydrates"": 128.9}}']",109.29999999999998
476,476,92.5,"['{""total_carbohydrates"": 92.5}']","['Boiled eggs, SOURCE-COMMODITIES = Hen eggs', 'Chicken fresh meat, PROCESS = Boiling, QUALITATIVE-INFO = Dark, QUALITATIVE-INFO = Without added salt, PART-CONSUMED-ANALYSED = With skin', 'Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Garlic, PROCESS = Frying', 'Nut/seeds paste/emulsion/mass, SOURCE-COMMODITIES = Peanuts, PROCESS = Roasting', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Pumpkin seeds, PROCESS = Roasting, PHYSICAL-STATE = Whole/unsplit form, including artificial forms', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Tomatoes, PHYSICAL-STATE = Paste', 'Tomatoes, PROCESS = Frying, QUALITATIVE-INFO = Red, QUALITATIVE-INFO = Ripe / mature']",COD,"For lunch, I had 33.1g of boiled eggs, 20.3g of boiled chicken with skin, and some fried chili peppers (0.4g). I also included 1.6g of steamed chives and 1.0g of fried garlic. To add a little more flavor, I tossed in some peanut paste (4.0g), a dollop of palm oil (3.4g), and a generous bowl of porridge (160.0g). I also snuck in 210.7g of roasted pumpkin seeds and a sprinkle of salt (1.6g). For an extra kick, I added some smoked fish (27.6g), a bit of beef stock (0.9g), and some tomato paste (1.2g) along with fried tomatoes (0.4g).",160.49999999999997,58.89999999999999,1361.0,57.50000000000001,67.99999999999997,54.8,"['{{""total_carbohydrates"": 54.8}}']",105.69999999999997
423,423,35.0,"['{""total_carbohydrates"": 35}']","['Porridge, water-based, wheat flour ']",STP,Dinner is 171 grams of porridge that's made with wheat flour and water.,27.36,5.64,166.0,1.88,7.640000000000001,130.5,"['{{""total_carbohydrates"": 130.5}}']",103.14
520,520,366.0,"['{""total_carbohydrates"": 366}']","['Baobab leaves, PROCESS = Boiling, QUALITATIVE-INFO = Fresh', 'Chicory coffee ingredient', 'Cow, ox or bull fresh meat,  PROCESS=Boiling', 'Dried fish,  STATE=Fine powder,  PROCESS=Boiling', 'Onions, PROCESS=Boiling', 'Paprika powder', 'Rice grain,  PROCESS=Boiling', 'Salt,  PROCESS=Boiling', 'Salt, INGREDIENT = Potassium, PHYSICAL-STATE = Liquid', 'Shea butter,  PROCESS=Boiling', 'Sorghum flour, PROCESS = Drying (dehydration), PROCESS = Boiling, QUALITATIVE-INFO = White, PART-CONSUMED-ANALYSED = With husks', 'Stock cubes or granulate (bouillon base)']",BFA,"For lunch, I made a dish with 8g of fresh boiled baobad leaves, 1g of chicory coffee ingredient, 20g of boiled beef, 11g of fine powdered dried fish, 28g of boiled onions, 0g of paprika powder, 1007g of boiled rice, 5g of salt, 7g of liquid potassium salt, 24g of shea butter, 105g of boiled dried sorghum flour, and 7g fo stock cubes for added flavor.",371.3,36.2,1999.0,73.10000000000001,5.300000000000011,285.5,"['{{""total_carbohydrates"": 285.5}}']",85.80000000000001
471,471,198.5,"['{""total_carbohydrates"": 198.5}']","['Chili peppers, PROCESS = Frying', 'Chives, PROCESS = Steaming', 'Dried starchy roots and tuber products, SOURCE-COMMODITIES = Cassava roots, PROCESS = Boiling, PROCESS = Steaming, PHYSICAL-STATE = Powder', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Salt', 'Smoked fish, SOURCE-COMMODITIES = Whitefishes or coregonus', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other', 'Sweet potato leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Tomatoes, PROCESS = Boiling, QUALITATIVE-INFO = Ripe / mature, QUALITATIVE-INFO = Without added salt, QUALITATIVE-INFO = Red']",COD,"For lunch, I'm having 2.2g of fried chili peppers, 17.4g of steamed chives, and 181.6g of boiled cassava root powder. I added 71.1g of red palm oil, 8.3g of salt, and 29.2g of smoked fish. I also included 1.9g of a beef stock cube, 309.1g of boiled sweet potato leaves, and 23.2g of boiled ripe tomatoes.",77.0,76.99999999999999,1100.0,21.6,121.5,158.5,"['{{""total_carbohydrates"": 158.5}}']",81.5
417,417,66.5,"['{""total_carbohydrates"": 66.5}']","['BEVERAGE, HORCHATA (RICE BASED) W/ CALABASH TREE FRUIT', 'BREAD WHEAT, SWEET', 'OATS W/MILK & SUGAR']",GTM,"This morning, I ate 250g of horchata, 250g of oats with milk and sugar, and a small 24g sweet wheat bread.",67.58,5.3,351.0,8.96,1.079999999999998,145.5,"['{{""total_carbohydrates"": 145.5}}']",77.92
501,501,108.5,"['{""total_carbohydrates"": 108.5}']","['Cola-type drinks', 'Isotonic and sport drinks', 'Peanuts, PROCESS = Battering, PROCESS = Frying, INGREDIENT = Salt']",MEX,"For my snack, I'm enjoying 154.5g of cola drinks along with 772.5g of isotonic drinks and 30g of salted peanuts.",80.69999999999999,8.4,420.0,4.8,27.80000000000001,158.1,"['{{""total_carbohydrates"": 158.1}}']",77.4
233,233,28.0,"['{""total_carbohydrates"": 28}']","['Oatmeal, instant, maple flavored, no added fat']",USA,"For breakfast today, it's 163 grams of instant oatmeal, and it's maple-flavored.",32.97,2.04,166.26,3.98,4.969999999999999,110.0,"['{{""total_carbohydrates"": 110}}']",77.03
346,346,312.0,"['{""total_carbohydrates"": 312}']","['COUNTRY SOUP', 'PLUM DUMPLINGS']",ROU,I'm enjoying 436.1 grams of country soup along with 727 grams of plum dumplings for lunch.,307.4,62.2,1838.0,23.700000000000003,4.600000000000023,234.3,"['{{""total_carbohydrates"": 234.3}}']",73.09999999999997
470,470,331.5,"['{""total_carbohydrates"": 331.5}']","['Cassava leaves, PROCESS = Boiling, QUALITATIVE-INFO = Without added salt', 'Chives, PROCESS = Steaming', 'Mangoes, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = Orange', 'Palm oil/fat, QUALITATIVE-INFO = Red', 'Porridge water based (ready to eat), INGREDIENT = Maize grain, QUALITATIVE-INFO = Hard', 'Salt', 'Stock cube or granulate, beef, PROCESS = Drying (dehydration), GENERIC-TERM = Other']",COD,"For breakfast, I had 127.8g of boiled cassava leaves with no added salt, 1.9g of steamed chives, 206.0g of raw mangoes, 61.9g of red palm oil, 729.0g of ready-to-eat maize porridge, 1.9g of salt, and 0.3g of dried beef stock cube.",260.1,75.2,1794.0,31.5,71.39999999999998,187.5,"['{{""total_carbohydrates"": 187.5}}']",72.60000000000002
514,514,97.5,"['{""total_carbohydrates"": 97.5}']","['Cowpea\t leaves (kunde) picked\t raw corrected for boiling', 'Onion\t mature\t red skinned\t peeled\t fresh\t raw corrected for stewing', 'Royco', 'Salt\t Iodized', 'Tomato\t red\t ripe\t raw\t corrected for stewing', 'Vegetable oil', 'Whole Maize Flour Ugali']",KEN,"Tonight's meal consists of 68.1g of cowpea leaves, 19.1g of onion, and 38.1g of tomato. I used 2.8g of Royco seasoning and 1.2g of salt, with 13.5g of vegetable oil, and it's all served with 415g of whole maize flour ugali.",60.0,18.5,467.0,10.4,37.5,126.5,"['{{""total_carbohydrates"": 126.5}}']",66.5
122,122,150.0,"['{""total_carbohydrates"": 150}']","['Pasta with cream sauce and seafood, home recipe', 'Pasta with cream sauce and poultry, home recipe']",USA,"Tonight’s dinner is 250 grams of pasta with cream sauce and seafood, plus 250 grams of pasta with cream sauce and poultry.",83.57,33.870000000000005,767.5,30.96,66.43,150.0,"['{{""total_carbohydrates"": 150}}']",66.43
388,388,54.8,"['{""total_carbohydrates"": 54.8}']","['PELARGON, WITH IRON', 'SUGAR, WHITE, REFINED']",PHL,"For my snack, I’m having 96g of pelargon along with 8.8g of refined sugar.",64.11,16.32,472.0,15.84,9.310000000000002,-1.0,"['{{""total_carbohydrates"": -1}}']",65.11
373,373,88.5,"['{""total_carbohydrates"": 88.5}']","['Chapatti, brown rice flour with ghee', 'Mango pickle', 'Potato curry']",PAK,"I'm enjoying 122.6g of chapatti with ghee, paired with 35.6g of mango pickle and 18.4g of potato curry for dinner.",113.0,23.700000000000003,713.0,10.8,24.5,52.3,"['{{""total_carbohydrates"": 52.3}}']",60.7
59,59,45.0,"['{""total_carbohydrates"": 45}']","['Nutritional drink or shake, high protein, light, ready-to-drink, NFS']",USA,I have a 341g high protein nutritional drink for lunch.,58.96,18.35,470.58,18.35,13.96,-1.0,"['{{""total_carbohydrates"": -1}}']",59.96
374,374,82.5,"['{""total_carbohydrates"": 82.5}']","['Chapatti, brown rice flour with ghee', 'Green gram, split, curry', 'Potato curry']",PAK,"For lunch, I have 122.6 grams of chapatti with ghee, along with a small serving of 10.2g split green gram curry and 18.4g potato curry.",111.3,8.9,576.0,10.7,28.799999999999997,51.8,"['{{""total_carbohydrates"": 51.8}}']",59.5
31,31,61.2,"['{""total_carbohydrates"": 61.2}']","['Apple, raw', 'Fruit juice drink']",USA,I have a snack of 200 grams of raw apple paired with a 496-gram fruit juice drink.,40.02,0.34,153.6,0.52,21.18,98.8,"['{{""total_carbohydrates"": 98.8}}']",58.779999999999994
286,286,126.5,"['{""total_carbohydrates"": 126.5}']","['Corn dog, frankfurter or hot dog with cornbread coating', 'Ketchup', 'Tortilla chips, nacho cheese flavor (Doritos)', 'Fruit cocktail, canned, NFS', 'Potato chips, ruffled, cheese flavored']",USA,"For a snack, I'm having an 88-gram corn dog with 17 grams of ketchup on the side, along with 28 grams of nacho cheese Doritos and 113 grams of canned fruit cocktail. I also grabbed 28 grams of cheese-flavored ruffled potato chips. And just to mix things up, I added 28 grams of tortilla chips, nacho cheese flavor to the plate!",77.0,27.07,579.87,12.06,49.5,133.8,"['{{""total_carbohydrates"": 133.8}}']",56.80000000000001
407,407,34.2,"['{""total_carbohydrates"": 34.2}']","['Porridge, barely flour']",ETH,I'm enjoying a snack of 108 grams of barley flour porridge.,22.7,6.8,162.0,2.6,11.500000000000004,79.2,"['{{""total_carbohydrates"": 79.2}}']",56.5
500,500,155.3,"['{""total_carbohydrates"": 155.3}']","['Brown sugar', 'Drinking water', 'Pasta, plain (not stuffed), uncooked, PROCESS = Frying, QUALITATIVE-INFO = Not fortified', 'Plum tomato, PROCESS = Frying', 'Soya bean oil, refined, PROCESS = Frying', 'Tortilla, INGREDIENT = Maize grain', 'Watermelons']",MEX,"For lunch, I mixed 75g of brown sugar with 300g of water. I cooked 33.3g of plain uncooked pasta and had 38.9g of fried plum tomatoes on the side. I also used 2.7g of refined soy bean oil, had a 75g maize tortilla, and sliced up 312g of watermelon.",160.6,9.5,757.0,12.6,5.299999999999983,104.9,"['{{""total_carbohydrates"": 104.9}}']",55.69999999999999
94,94,108.5,"['{""total_carbohydrates"": 108.5}']","['Roll, sweet, cinnamon bun, frosted', 'Soft drink, pepper type']",USA,"For a snack, I'm having a 66-gram frosted cinnamon bun and a 372-gram pepper soft drink.",70.62,18.49,454.56,2.94,37.879999999999995,126.0,"['{{""total_carbohydrates"": 126}}']",55.379999999999995
