doc_id,carb_pred,description,country,queries,carb,fat,energy,protein,carb_mae,carb_mae_norm,fat_pred,fat_mae,fat_mae_norm,energy_pred,energy_mae,energy_mae_norm,protein_pred,protein_mae,protein_mae_norm
6,118.8,"['Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on white bread', 'Strawberry milk, whole']",USA,"For lunch, I'm having a peanut butter and jelly sandwich made with 112.0g of regular peanut butter and jelly on white bread, along with a glass of 248.0g of whole strawberry milk.",79.96,25.880000000000003,617.36,20.43,38.84,0.7580462225102742,48.8,22.919999999999995,1.7034917963819938,1012.0,394.64,1.066227531766091,23.8,3.370000000000001,0.277519678555114
31,98.8,"['Apple, raw', 'Fruit juice drink']",USA,I have a snack of 200 grams of raw apple paired with a 496-gram fruit juice drink.,40.02,0.34,153.6,0.52,58.779999999999994,1.1472182533252808,1.0,0.659999999999999,0.049053428691628036,344.0,190.4,0.5144174996155071,2.0,1.48,0.12187807841589574
54,150.0,"['Chicken, fried, with potatoes, vegetable, dessert, frozen meal, large meat portion', 'Soft drink, cola']",USA,"For breakfast, I'm having a large frozen meal with 468.0g of fried chicken, potatoes, and vegetables, along with a 372.0g soft drink cola.",122.97,47.36,1092.24,50.87,27.03,0.5275486455832314,48.0,0.64,0.047566961155518166,-1.0,1093.24,2.953685857561224,92.4,41.53000000000001,3.4199977004136155
59,-1.0,"['Nutritional drink or shake, high protein, light, ready-to-drink, NFS']",USA,I have a 341g high protein nutritional drink for lunch.,58.96,18.35,470.58,18.35,59.96,1.1702484938649855,-1.0,19.35,1.4381573411863695,-1.0,471.58,1.2741019142262648,30.0,11.649999999999999,0.9593781172602602
93,61.1,"['Apple, raw', 'Peanuts, honey roasted']",USA,Snacking on 165 grams of a raw apple and 146 grams of honey roasted peanuts right now.,66.62,66.34,920.92,30.65,5.520000000000003,0.1077346845586178,36.5,29.840000000000003,2.2178095638760347,1014.0,93.08000000000004,0.2514809919338835,37.3,6.649999999999999,0.5476278523416935
94,126.0,"['Roll, sweet, cinnamon bun, frosted', 'Soft drink, pepper type']",USA,"For a snack, I'm having a 66-gram frosted cinnamon bun and a 372-gram pepper soft drink.",70.62,18.49,454.56,2.94,55.379999999999995,1.0808599331261324,11.0,7.489999999999998,0.5566820922731733,640.0,185.44,0.5010167076087166,4.0,1.06,0.08729105616273614
112,41.5,"['Beef and vegetables including carrots, broccoli, and/or dark-green leafy; no potatoes, no sauce', 'Rice, cooked, NFS']",USA,"I’ve got a dinner plate with 162 grams of beef and veggies, including carrots and broccoli, plus 158 grams of cooked rice.",49.08,11.34,391.74,22.7,7.579999999999998,0.14794001973810186,12.5,1.16,0.08621511709437667,510.0,118.25999999999999,0.3195116255490014,49.36,26.66,2.1954524125457975
117,75.0,"['Pasta, whole grain, with cream sauce, poultry, and added vegetables, restaurant']",USA,"I ordered 250 grams of whole grain pasta with cream sauce, poultry, and veggies for dinner.",38.08,31.1,475.0,14.98,36.92,0.720573288750755,25.5,5.600000000000001,0.41621091011078404,625.0,150.0,0.4052658873021327,37.5,22.52,1.8545231931932242
122,150.0,"['Pasta with cream sauce and seafood, home recipe', 'Pasta with cream sauce and poultry, home recipe']",USA,"Tonight’s dinner is 250 grams of pasta with cream sauce and seafood, plus 250 grams of pasta with cream sauce and poultry.",83.57,33.870000000000005,767.5,30.96,66.43,1.2965244737733654,48.5,14.629999999999995,1.0873510026644226,1600.0,832.5,2.2492256745268366,58.5,27.54,2.267920459171465
128,183.0,"['Soft drink, cola', 'Pizza with meat other than pepperoni, from frozen, thin crust']",USA,Tonight’s dinner includes a 620-gram cola and a 320-gram meat pizza from the freezer on a thin crust.,150.57,40.27,1114.8,39.49,32.43000000000001,0.6329412717818794,32.8,7.470000000000006,0.555195624737064,1550.0,435.20000000000005,1.1758114276925877,40.0,0.509999999999998,0.04199852702169364
197,156.0,"['Soft drink, cola', 'Burrito with meat, beans, and rice']",USA,"My lunch consists of a 372-gram soft drink and a burrito with meat, beans, and rice that weighs 482 grams.",123.37,53.08,1173.26,50.61,32.629999999999995,0.6368447023818291,20.5,32.58,2.4214556163230965,1044.0,129.26,0.3492311239511578,25.5,25.11,2.0678098304210417
202,186.8,"['Cookie, marshmallow, with rice cereal, no bake', 'Nachos with meat and cheese', 'Onion flavored rings', 'Sports drink (Powerade)']",USA,"I’ve got a lunch spread that includes a 38-gram no-bake marshmallow cookie, 262 grams of nachos loaded with meat and cheese, 28 grams of onion rings, and a big 620-gram sports drink, Powerade.",144.07,42.84,1114.9,38.870000000000005,42.73000000000002,0.8339679476793004,54.3,11.459999999999994,0.8517458981909967,1530.0,415.0999999999999,1.1215057987941017,38.5,0.37000000000000405,0.030469519603974267
204,45.9,"['Popcorn, microwave, plain']",USA,"I made some plain microwave popcorn, and I'm snacking on 85 grams of it.",47.59,26.41,457.3,7.39,1.690000000000004,0.032983988569576884,4.25,22.16,1.6470060300098164,425.0,32.30000000000001,0.08726725439905927,8.5,1.11,0.09140855881192181
233,110.0,"['Oatmeal, instant, maple flavored, no added fat']",USA,"For breakfast today, it's 163 grams of instant oatmeal, and it's maple-flavored.",32.97,2.04,166.26,3.98,77.03,1.503406295570711,7.0,4.96,0.36864394895526575,620.0,453.74,1.2259022913631312,21.2,17.22,1.4180679123795434
259,168.2,['Oatmeal beverage with water'],USA,I’ve got a drink made from 248 grams of oatmeal and water for breakfast.,26.31,0.37,106.64,0.62,141.89,2.7692888391344694,11.9,11.530000000000001,0.856948534567382,948.0,841.36,2.2731633796034827,26.04,25.419999999999998,2.093338346845993
274,27.8,"['Chicken or turkey noodle soup, canned or ready-to-serve', 'Orange juice, 100%, with calcium added, canned, bottled or in a carton']",USA,"For lunch, I warmed up 532 grams of chicken noodle soup and drank 124 grams of orange juice.",30.3,4.300000000000001,185.96,7.22,2.5,0.04879288249937398,7.0,2.6999999999999993,0.2006731173748422,263.0,77.03999999999999,0.20814455971837534,23.4,16.18,1.3324238572764817
286,133.8,"['Corn dog, frankfurter or hot dog with cornbread coating', 'Ketchup', 'Tortilla chips, nacho cheese flavor (Doritos)', 'Fruit cocktail, canned, NFS', 'Potato chips, ruffled, cheese flavored']",USA,"For a snack, I'm having an 88-gram corn dog with 17 grams of ketchup on the side, along with 28 grams of nacho cheese Doritos and 113 grams of canned fruit cocktail. I also grabbed 28 grams of cheese-flavored ruffled potato chips. And just to mix things up, I added 28 grams of tortilla chips, nacho cheese flavor to the plate!",77.0,27.07,579.87,12.06,56.80000000000001,1.108574290385777,47.8,20.729999999999997,1.5407236011779553,1000.0,420.13,1.1350957148816334,15.1,3.039999999999999,0.25034416107048846
288,60.0,"['Chimichanga, meatless']",USA,"I’m eating a meatless chimichanga for dinner, and it’s 396 grams.",98.68,32.99,792.0,26.06,38.68000000000001,0.7549234780303143,20.0,12.990000000000002,0.9654606647034079,-1.0,793.0,2.1425056575372747,15.0,11.059999999999999,0.9107915859998694
297,54.0,"['Beans and rice, with meat']",USA,"For lunch, I'm having 170 grams of beans and rice with meat.",40.02,7.21,275.4,12.73,13.979999999999997,0.27284979893649924,8.5,1.29,0.0958771560790913,380.0,104.60000000000002,0.2826054120786873,28.5,15.77,1.2986603355531592
309,276.3,"['* beans,cranberry (solwezi),dried,raw *boiled*', '* maize flour,white variety,breakfast meal (refined),raw *bo', '* onion, large bulb, fresh, raw *boiled*', '* tomato,ripe,fresh,raw *boiled*', 'groundnuts,in-shell,dried,boiled']",ZMB,"For a snack, I had 55 grams of boiled cranberry beans, 118 grams of raw white maize flour breakfast meal, 10 grams of boiled large onion, 34 grams of boiled ripe tomato, and 453 grams of boiled groundnuts.",225.3,102.6,2070.0,82.9,51.0,0.9953748029872291,108.3,5.700000000000003,0.42364324779133383,2743.0,673.0,1.8182929476955687,122.9,40.0,3.2940021193485336
316,263.1,"['Alcoholic beverage, liqueur, 20-30 proof', 'Butter', 'Carbonated beverage, cola or similar-type (Coca cola, Pepsi)', 'Cheese, Gruyère', ""Cheese, Mozzarella, cow's milk"", 'Cheese, Parmesan, hard type', 'Chocolate, dark chocolate, all types', 'Coffee, brewed, espresso, homemade, without sugar', 'Coffee, brewed, espresso, restaurant, bar-prepared, without sugar', 'Egg, chicken, whole, raw, fresh', 'Milk, cow, whole', 'Pineapple, fresh', 'Sugar', 'Tomato, sauce type, red ripe, raw', 'Vegetable oil, mixed seeds', 'Wheat flour, white, 9% protein, pastry flour, Italian ""tipo 00"" flour', 'Yeast, beer yeast tablets']",ITA,"For a snack, I had 330g of a cola drink along with 17g of butter, 8.7g of Gruyère cheese, 122.5g of mozzarella cheese, 8.7g of Parmesan cheese, 60g of espresso coffee from a restaurant, 30.2g of a raw chicken egg, 150g of whole cow's milk, 21.5g of fresh pineapple, 61.2g of sugar, 18.2g of red ripe tomato sauce, 186.1g of mixed seeds vegetable oil, 186.1g of white wheat flour, 7.7g of beer yeast tablets, and 32.2g of dark chocolate. I also had 0.0g of an alcoholic beverage, liqueur, 20-30 proof, and 12.9g of homemade espresso coffee, without sugar. Additionally, there were 67.5g of whole, raw, fresh chicken egg included.",237.37,80.45,1868.0,63.16,25.730000000000018,0.5021763466835574,276.95,196.5,14.604543542280187,3892.1,2024.1,5.468657883254979,68.5,5.340000000000003,0.4397492829330295
324,97.9,"['Doughnuts-berliner', 'Lupins (without pods), PART-CONSUMED-ANALYSED = W/o peel', 'Maize grain, PROCESS = Raw, no heat treatment, QUALITATIVE-INFO = White', 'Mandarins', 'Oranges', 'Yoghurt, cow milk, flavoured']",PER,"For my snack, I've got 69g of Berliner doughnuts, 4g of lupins, and 30.4g of raw maize. On the side, I have 199.8g of mandarins, 121.6g of oranges, and 12g of yogurt.",104.62,2.9,481.0,37.540000000000006,6.719999999999999,0.13115526815831724,8.02,5.119999999999999,0.38053568924414527,469.0,12.0,0.032421270984170615,8.92,28.620000000000005,2.356858516393876
341,92.5,"['COFFEE, UNSWEETENED', 'MEATBALL SOUP', 'SPAGHETTI WITH MEAT']",ROU,I’ve got a 75g cup of unsweetened coffee paired with 364.2g of meatball soup and 352.5g of spaghetti and meat for lunch.,74.5,49.6,971.0,54.1,18.0,0.35130875399549266,28.9,20.700000000000003,1.5384938998737907,1045.5,74.5,0.20128205736005925,57.1,3.0,0.24705015895114002
342,87.5,"['GRILLED PEPPER SALAD', 'MIXED VEGETABLES SOUP', 'POTATO', 'SCHNITZEL']",ROU,"I'm enjoying a 240.5g grilled pepper salad, 397g mixed vegetable soup, a 100g potato, and a 310g schnitzel for lunch.",69.89999999999999,93.1,1401.0,70.39999999999999,17.60000000000001,0.34350189279559296,37.5,55.599999999999994,4.13237975038564,1080.0,321.0,0.867268998826564,66.5,3.899999999999991,0.3211652066364813
345,206.1,"['BREAD', 'MIXED VEGETABLES SOUP', 'SPONGE CAKE']",ROU,"Lunch today included 25 grams of bread, 410.5 grams of mixed vegetable soup, and a nice 352.2 grams of sponge cake.",228.5,63.2,1611.0,33.800000000000004,22.400000000000006,0.437184227194391,38.9,24.300000000000004,1.8060580563735806,1285.9,325.0999999999999,0.8783462664128221,15.1,18.700000000000003,1.5399459907954396
346,234.3,"['COUNTRY SOUP', 'PLUM DUMPLINGS']",ROU,I'm enjoying 436.1 grams of country soup along with 727 grams of plum dumplings for lunch.,307.4,62.2,1838.0,23.700000000000003,73.09999999999997,1.4267038842816946,28.6,33.6,2.497265460664704,-1.0,1839.0,4.968559778324147,38.5,14.799999999999997,1.218780784158957
347,134.3,"['CABBAGE ROLLS STUFFED WITH MEAT', 'CHICKEN SOUP', 'SPONGE CAKE']",ROU,"For lunch, I enjoyed a 176.1g sponge cake along with 347.5g of cabbage rolls stuffed with meat and 458.2g of chicken soup.",142.5,82.2,1593.0,74.60000000000001,8.199999999999989,0.16004065459794642,54.8,27.400000000000006,2.036460524470622,1220.0,373.0,1.0077611730913034,66.4,8.200000000000003,0.6752704344664496
348,78.6,"['CHICKEN SOUP', 'POTATOES WITH MEAT']",ROU,Lunch today includes 382 grams of chicken soup and 378 grams of potatoes with meat.,58.7,78.9,1155.0,54.1,19.89999999999999,0.3883913446950167,18.1,60.800000000000004,4.518861309774226,670.0,485.0,1.3103597022768958,36.3,17.800000000000004,1.4658309431100978
368,92.5,"['Macaroni with goat and vegetable oil', 'Tunisian brick with turkey and vegetable oil', 'Wheat bread and rolls, white (refined flour)']",TUN,"I ate 89.7g of macaroni prepared with goat and vegetable oil and 92.1g of a Tunisian brick stuffed with turkey and vegetable oil for lunch. Plus, I had 50g of white bread.",55.49999999999999,22.17,500.0,23.42,37.00000000000001,0.722134660990735,30.9,8.729999999999997,0.6488430795119897,1045.0,545.0,1.4724660571977488,28.1,4.68,0.38539824796377836
373,52.3,"['Chapatti, brown rice flour with ghee', 'Mango pickle', 'Potato curry']",PAK,"I'm enjoying 122.6g of chapatti with ghee, paired with 35.6g of mango pickle and 18.4g of potato curry for dinner.",113.0,23.700000000000003,713.0,10.8,60.7,1.1846911870848003,15.1,8.600000000000003,0.6391810405272755,408.0,305.0,0.8240406375143365,6.1,4.700000000000001,0.3870452490234528
374,51.8,"['Chapatti, brown rice flour with ghee', 'Green gram, split, curry', 'Potato curry']",PAK,"For lunch, I have 122.6 grams of chapatti with ghee, along with a small serving of 10.2g split green gram curry and 18.4g potato curry.",111.3,8.9,576.0,10.7,59.5,1.1612706034851008,13.1,4.199999999999999,0.3121581825830879,356.0,220.0,0.5943899680431279,8.1,2.599999999999999,0.2141101377576546
384,30.8,"['COCONUT OIL', 'FISH FINGER RECIPE USING TUNA FISH, BAKED', 'PORK LOIN CHOP, FRIED', 'PORK PLATE FLAT, SAUTEED', 'RICE, WHITE, BOILED/STEAMED', 'WHEAT NOODLES, COOKED', 'YAM BEAN, PODS, SAUTEED']",PHL,"For dinner, I'm having 6.8g of coconut oil, 15g of baked fish fingers made with tuna fish, 40g of fried pork loin chop, 3.3g of sautéed pork plate flat, 84g of boiled white rice, 32g of cooked wheat noodles, and 0.8g of sautéed yam bean pods.",43.0,38.290000000000006,627.0,26.22,12.2,0.238109266596945,15.92,22.370000000000005,1.6626139391389712,368.0,259.0,0.6997590987416825,18.1,8.119999999999997,0.6686824302277521
388,-1.0,"['PELARGON, WITH IRON', 'SUGAR, WHITE, REFINED']",PHL,"For my snack, I’m having 96g of pelargon along with 8.8g of refined sugar.",64.11,16.32,472.0,15.84,65.11,1.270761831813696,-1.0,17.32,1.2872808862712104,-1.0,473.0,1.277938431292725,3.84,12.0,0.9882006358045601
389,92.8,"['HORSE RADISH TREE LEAVES, BOILED', 'LARD', 'LONG JAWED ANCHOVY, DRIED, BOILED', 'PORK PLATE FLAT, FRIED', 'RICE, WHITE, BOILED/STEAMED', 'SOFTDRINKS (COCA-COLA)', 'SQUASH, FRUIT, YELLOW BOILED', 'TARO, BOILED']",PHL,"For lunch, I had 11.7g of boiled horseradish tree leaves, 10.2g of lard, 1.6g of dried boiled long jawed anchovy, 60.0g of fried pork plate flat, 225.0g of boiled white rice, 240.0g of Coca-Cola soft drink, 11.7g of boiled yellow squash, and 15.6g of boiled taro.",96.23,64.49999999999999,1068.0,22.33,3.430000000000007,0.06694383478914123,37.92,26.579999999999984,1.9755153554901126,1001.0,67.0,0.18101876299495262,23.1,0.770000000000003,0.06340954079745952
390,78.8,"['BEANS (BLACK, MULATTO, PURPLE, PINK, ETC.), NOT DETERMINED', 'BEEF LIVER, COOKING WITH FATS/OILS', 'BEETROOT, COOKING WITHOUT FATS/OILS', 'CARROT, RAW', 'KALE, RAW', 'WATER, NOT DETERMINED', 'WHOLE GRAIN RICE, NOT DETERMINED']",BRA,"For lunch, I had 140 grams of mixed black, mulatto, purple, and pink beans, along with 70 grams of beef liver cooked in fats. I also had 120 grams of cooked beetroot, 36 grams of raw carrot, and 60 grams of raw kale. To drink, I had 150 grams of water and a side of 126 grams of whole grain rice.",67.88,11.25,452.0,28.44,10.920000000000002,0.21312731075726557,8.2,3.05,0.22668629925676623,548.0,96.0,0.2593701678733649,47.1,18.66,1.5366519886760908
